# WadsRadio station list: Los Angeles radio stations
# Columns: station name, stream URL, volume offset, stream type, logo URL
# WadsRadio supports direct streams and HLS .m3u8 streams; the optional fifth column points at a local or remote station logo.
# Checked but not included: KLOS, Power 106 KPWR, and KJLH tested URLs failed or denied direct playback.

# Public, college, and community
KCRW 89.9 Live	https://streams.kcrw.com/kcrw_aac	0	direct	/station-logos/kcrw.svg
KCRW Eclectic 24	https://streams.kcrw.com/e24_aac	0	direct	/station-logos/kcrw.svg
KCRW News 24	https://streams.kcrw.com/news24_aac	0	direct	/station-logos/kcrw.svg
LAist 89.3 KPCC	https://live.amperwave.net/direct/southerncalipr-kpccfmmp3-imc.mp3?source=kpcc	0	direct	/station-logos/laist.svg
KUSC 91.5 Classical	https://16603.live.streamtheworld.com/KUSCAAC96_SC	0	direct
KXLU 88.9 Loyola Marymount	http://www.ednixon.com:8120/stream	0	direct
KPFK 90.7	https://streams.pacifica.org:9000/kpfk_64	0	direct
KJazz 88.1 KKJZ	https://streaming.live365.com/a49833	0	direct

# News, talk, and commercial
KROQ 106.7	http://live.amperwave.net/direct/audacy-kroqfmaac-imc	0	direct
KNX News 97.1	https://live.amperwave.net/direct/audacy-knxamaac-imc	0	direct
KFI AM 640	https://stream.revma.ihrhls.com/zc177	0	direct
102.7 KIIS FM	https://stream.revma.ihrhls.com/zc185	0	direct
KOST 103.5	https://stream.revma.ihrhls.com/zc193	0	direct
ALT 98.7 KYSR	https://stream.revma.ihrhls.com/zc201	0	direct
K-Earth 101 KRTH	https://live.amperwave.net/direct/audacy-krthfmaac-imc	0	direct
Mega 96.3 KXOL	https://liveaudio.lamusica.com/LA_KXOL_icy	0	direct
KABC 790	https://playerservices.streamtheworld.com/api/livestream-redirect/KABCAM.mp3	0	direct
